Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,391.739990,395.790009,391.529999,395.519989,394.003052,41198000
2023-12-12,395.559998,398.790009,394.410004,398.670013,397.140991,39221200
2023-12-13,399.619995,404.359985,398.839996,403.739990,402.191559,55408100
2023-12-14,404.980011,406.299988,400.339996,403.390015,401.842896,55447800
2023-12-15,404.179993,406.540009,403.570007,405.339996,403.785400,62598000
2023-12-18,404.929993,407.989990,404.600006,407.079987,406.328674,46610000
2023-12-19,407.540009,409.279999,407.350006,409.160004,408.404877,35711900
2023-12-20,408.350006,410.470001,402.899994,403.079987,402.336060,54042400
2023-12-21,407.059998,408.140015,404.470001,407.769989,407.017426,45568900
2023-12-22,409.000000,409.970001,406.480011,408.380005,407.626312,34292400
2023-12-26,409.250000,411.559998,409.149994,410.880005,410.121704,22722500
2023-12-27,410.950012,411.790009,410.079987,411.500000,410.956604,31980500
2023-12-28,412.670013,412.920013,410.940002,411.299988,410.756836,27029200
2023-12-29,411.279999,411.640015,407.579987,409.519989,408.979187,42633400
2024-01-02,405.839996,406.089996,400.239990,402.589996,402.058350,58026900
2024-01-03,399.929993,401.000000,397.890015,398.329987,397.803986,47002800
2024-01-04,396.440002,399.589996,396.059998,396.279999,395.756683,39432800
2024-01-05,396.450012,399.559998,395.339996,396.750000,396.226074,44867900
2024-01-08,397.989990,405.239990,397.839996,404.950012,404.415253,42473800
2024-01-09,401.910004,406.690002,401.709991,405.750000,405.214203,39132900
2024-01-10,406.070007,409.519989,405.170013,408.500000,407.960571,33962800
2024-01-11,409.790009,411.200012,404.239990,409.350006,408.809448,54536200
2024-01-12,410.399994,411.250000,408.149994,409.559998,409.019165,39581400
2024-01-16,408.309998,411.119995,406.829987,409.519989,408.979187,43903000
2024-01-17,406.170013,407.589996,402.920013,407.209991,406.672241,54386000
2024-01-18,410.519989,413.579987,409.160004,412.989990,412.444611,59562500
2024-01-19,415.220001,421.339996,414.630005,421.179993,420.623810,70268500
2024-01-22,423.410004,424.730011,421.119995,421.730011,421.173096,44880600
2024-01-23,422.429993,423.700012,420.570007,423.480011,422.920776,33003800
2024-01-24,427.440002,429.850006,425.329987,425.829987,425.267670,46948000
2024-01-25,428.359985,429.040009,423.980011,426.350006,425.786987,44367200
2024-01-26,424.440002,426.209991,423.149994,423.809998,423.250336,37137000
2024-01-29,424.269989,428.350006,423.609985,428.149994,427.584595,38694700
2024-01-30,427.100006,427.679993,424.380005,425.299988,424.738373,36739000
2024-01-31,420.850006,422.869995,416.790009,416.970001,416.419373,64010600
2024-02-01,418.790009,422.380005,417.809998,421.880005,421.322906,51008600
2024-02-02,423.799988,430.239990,422.790009,429.010010,428.443481,59582300
2024-02-05,429.070007,429.609985,425.000000,428.450012,427.884216,39889200
2024-02-06,429.609985,430.220001,425.220001,427.589996,427.025360,35846100
2024-02-07,430.410004,432.829987,429.089996,431.989990,431.419525,37712700
2024-02-08,432.109985,433.559998,431.420013,432.790009,432.218506,29889900
2024-02-09,433.940002,437.850006,433.140015,437.049988,436.472839,36943900
2024-02-12,436.940002,439.140015,434.649994,435.339996,434.765106,33203300
2024-02-13,427.279999,431.269989,425.329987,428.549988,427.984070,64491700
2024-02-14,431.260010,433.649994,428.880005,433.220001,432.647919,45092700
2024-02-15,433.920013,434.980011,431.329987,434.510010,433.936218,38796100
2024-02-16,434.890015,434.989990,429.850006,430.570007,430.001434,53661500
2024-02-20,428.549988,430.079987,423.500000,427.320007,426.755707,53999500
2024-02-21,424.549988,425.700012,421.630005,425.609985,425.047943,50179700
2024-02-22,434.489990,439.119995,433.709991,438.070007,437.491516,53887800
2024-02-23,439.649994,440.589996,435.790009,436.779999,436.203217,39853900
2024-02-26,437.600006,438.600006,436.359985,436.549988,435.973511,33043200
